Name,Location,Price
"Brand New Beautiful House For Sale At Sundarbasti, Bhangal. : House For Sale In Budhanilkantha, Kathmandu",Kathmandu,19000000
"12 Anna House Opposite Rastra Bank At Baluwatar, Beside Subisu Office : House For Sale In Baluwatar, Kathmandu",Kathmandu,105000000
"10 Anna Land For Sale Beside Sher Bahadur Deuba House, Budhanilkantha : Land For Sale In Budhanilkantha, Kathmandu",Kathmandu,4500000
"6 Anna Purba Mohada Land For Sale At Deuba Chowk, 150 Mtr From Highway : Land For Sale In Budhanilkantha, Kathmandu",Kathmandu,3400000
"Dhapasi Bungalow : House For Sale In Dhapasi, Kathmandu",Kathmandu,65000000
"Hotel On Rent At Thamel , Kathmandu : Business For Rent In Thamel, Kathmandu",Kathmandu,1800000
"Brand New House For Sale (2 Crore 45 Lakhs) Negotiable. : House For Sale In Sitapaila, Kathmandu",Kathmandu,24000000
"House On Rent At Rose Villa , Siddhartha Colony : House For Rent In Budhanilkantha, Kathmandu",Kathmandu,200000
"Brand New House For Rent : House For Rent In Bhangal, Kathmandu",Kathmandu,95000
"House On Rent At Naya Bazar : House For Rent In Khusibu, Kathmandu",Kathmandu,250000
"House For Sale In Jorpati, Kathmandu",Kathmandu,24000000
"Flat For Rent : Flat For Rent In Thankot, Kathmandu",Kathmandu,16000
"Personal : Land For Sale In Kapan, Kathmandu",Kathmandu,3000000
"Land For Sale In Gokarneshwor, Kathmandu",Kathmandu,2000000
